State,Number of House Seats from 2010,State Abbreviation
Alabama,7,AL
Alaska,1,AK
Arizona,9,AZ
Arkansas,4,AR
California,53,CA
Colorado,7,CO
Connecticut,5,CT
Delaware,1,DE
Florida,27,FL
Georgia,14,GA
Hawaii,2,HI
Idaho,2,ID
Illinois,18,IL
Indiana,9,IN
Iowa,4,IA
Kansas,4,KS
Kentucky,6,KY
Louisiana,6,LA
Maine,2,ME
Maryland,8,MD
Massachusetts,9,MA
Michigan,14,MI
Minnesota,8,MN
Mississippi,4,MS
Missouri,8,MO
Montana,1,MT
Nebraska,3,NE
Nevada,4,NV
New Hampshire,2,NH
New Jersey,12,NJ
New Mexico,3,NM
New York,27,NY
North Carolina,13,NC
North Dakota,1,ND
Ohio,16,OH
Oklahoma,5,OK
Oregon,5,OR
Pennsylvania,18,PA
Rhode Island,2,RI
South Carolina,7,SC
South Dakota,1,SD
Tennessee,9,TN
Texas,36,TX
Utah,4,UT
Vermont,1,VT
Virginia,11,VA
Washington,10,WA
West Virginia,3,WV
Wisconsin,8,WI
Wyoming,1,WY
